Hours_Coding,Lines_of_Code,Bugs_Found,Bugs_Fixed,AI_Usage_Hours,Sleep_Hours,Cognitive_Load,Task_Success_Rate,Coffee_Intake,Stress_Level,Task_Duration_Hours,Commits,Errors
7,416,9,7,6,5.9,92,34,7,99,10.5,20,3
4,269,16,13,5,5.1,85,36,2,100,9.5,17,8
11,439,3,0,2,6.2,38,79,2,55,18.3,35,2
8,472,15,9,4,4.2,26,94,5,30,12.6,28,4
5,265,19,16,5,8.1,82,33,6,82,7.0,25,9
7,196,14,12,0,8.1,61,39,1,72,6.4,21,8
10,516,4,3,6,6.9,61,56,0,66,5.1,16,5
3,234,5,1,6,5.8,78,40,2,86,2.9,15,2
7,440,16,13,6,8.0,39,75,3,43,10.6,20,9
11,297,0,0,0,6.8,92,30,0,100,13.9,11,8
11,715,18,13,0,8.1,36,73,3,53,15.4,22,5
8,528,3,0,0,7.2,46,63,7,62,19.7,16,3
5,190,16,14,0,7.9,66,39,3,83,6.0,10,3
4,314,8,7,6,7.0,21,92,0,30,5.6,10,7
8,534,1,0,6,6.1,82,42,0,100,6.1,14,6
8,312,7,7,1,8.8,81,30,6,88,4.8,33,0
3,221,14,11,5,6.7,38,82,3,40,6.2,8,5
6,336,6,6,4,7.0,36,78,1,40,9.8,22,7
5,255,5,0,2,5.1,88,30,6,95,10.1,12,2
2,236,0,0,6,7.1,58,56,4,76,1.6,14,8
8,612,14,10,2,6.9,90,30,5,100,13.1,10,9
6,393,6,2,5,4.9,58,61,4,75,6.0,17,1
2,190,16,15,5,4.3,55,57,1,55,1.9,7,5
5,369,1,0,2,7.0,59,51,6,73,2.6,22,0
1,224,8,4,6,7.8,64,62,5,81,0.8,7,1
10,600,8,2,2,6.6,23,85,6,30,11.2,12,4
6,369,12,8,1,5.1,44,63,0,59,4.4,13,0
9,696,5,3,3,7.3,88,30,5,100,22.2,30,7
1,246,5,1,6,4.4,49,71,7,63,1.1,7,0
11,510,19,14,6,6.2,87,30,3,92,8.4,50,8
11,546,19,15,4,4.8,48,62,4,56,9.9,15,9
10,430,2,0,0,4.9,92,30,5,98,16.8,10,2
3,177,16,16,3,5.0,87,30,3,100,1.9,12,1
7,507,16,14,5,5.9,70,56,6,80,15.6,19,0
4,410,11,10,6,4.3,43,71,1,58,9.7,22,8
9,669,15,15,2,6.0,33,75,5,38,8.9,20,3
3,159,14,11,3,6.6,88,30,3,100,4.2,9,0
5,392,12,10,4,6.4,37,84,6,56,2.7,14,0
3,317,0,0,5,5.9,61,53,6,76,5.3,8,6
7,413,16,14,0,8.2,76,30,6,87,9.3,21,1
5,265,2,0,0,4.7,31,70,1,47,5.2,5,6
9,455,14,11,4,6.5,36,78,0,40,8.2,40,6
7,571,3,0,4,4.3,49,64,1,61,12.7,25,9
2,92,3,0,2,4.4,94,30,1,100,2.7,6,8
4,234,17,16,6,6.9,42,84,7,46,3.4,18,6
9,486,16,12,0,6.8,20,80,4,31,16.9,36,0
2,140,18,16,5,8.4,51,62,6,59,3.3,7,7
10,607,10,4,3,6.8,28,85,3,30,22.2,13,7
9,582,19,15,5,8.8,34,87,5,36,6.6,23,3
10,454,2,0,1,4.2,47,66,4,47,20.7,11,7
5,316,7,2,1,4.5,43,61,6,60,9.2,6,3
2,180,13,10,4,4.2,79,33,2,90,1.5,12,7
4,230,0,0,2,4.9,54,51,1,62,7.6,14,4
7,495,13,8,1,6.7,46,54,2,54,9.7,8,3
8,352,1,1,0,7.2,39,67,6,56,19.1,32,5
3,269,3,0,5,4.2,84,40,4,100,2.3,17,1
1,211,18,12,5,8.7,68,51,3,74,1.8,7,1
4,344,5,4,4,8.2,20,100,4,30,5.1,20,1
2,318,0,0,6,5.5,29,94,7,41,4.8,10,8
8,578,16,10,6,4.4,66,54,3,82,9.3,14,9
4,372,7,6,3,4.8,78,30,3,79,9.7,11,2
2,216,18,12,4,4.6,81,32,6,94,4.6,12,9
6,282,0,0,3,4.6,37,73,0,39,6.2,21,3
6,528,4,1,6,6.6,65,61,6,69,12.6,24,9
10,716,15,15,4,5.2,51,57,1,64,24.9,14,7
4,260,5,2,4,5.8,46,70,4,48,4.0,8,3
6,430,7,7,4,8.9,37,78,3,43,8.2,22,9
2,318,12,6,6,7.4,58,70,6,75,3.1,10,9
10,432,15,10,3,8.7,68,44,6,80,10.9,13,6
2,144,2,0,3,4.7,63,56,4,72,1.1,11,4
10,786,18,12,4,5.9,91,30,4,100,9.4,14,8
4,199,11,11,1,6.8,73,34,7,88,4.3,9,3
8,586,15,15,2,4.4,53,61,3,61,11.1,10,2
7,453,10,10,6,4.0,90,34,5,91,5.9,34,1
9,423,9,3,2,7.4,55,52,7,59,20.2,38,0
8,530,19,18,2,7.2,37,78,2,53,15.3,34,5
5,400,3,0,3,6.1,57,62,1,60,3.4,13,9
2,133,11,10,3,6.4,78,33,1,94,3.6,7,1
5,194,1,0,1,6.1,28,79,5,36,9.0,21,7
8,504,18,12,2,4.1,92,30,0,100,19.3,34,5
10,574,4,4,2,5.7,91,30,7,92,5.1,22,4
9,591,7,2,4,4.9,70,50,5,87,9.0,22,1
9,726,6,1,3,4.5,54,50,0,64,21.2,21,6
1,98,13,11,2,8.8,24,92,0,36,2.4,5,1
9,502,2,0,5,7.0,33,86,5,40,17.5,23,4
7,300,17,12,1,7.6,49,51,1,49,14.2,29,1
